Player,Team,DYAR,Rk,YAR,Rk,DVOA,Rk,VOA,QBR,Rk,Pass,Yards,EYds,TD,FK,FL,INT,C%,DPI,ALEX
P.Mahomes,KC,"2,039",1,"1,908",1,40.10%,1,36.80%,81.6,1,607,"4,910","5,980",50,3,2,11,66.40%,7/107,4.5
D.Brees,NO,"1,632",2,"1,681",2,36.80%,2,38.20%,80.8,2,506,"3,854","4,964",32,1,1,5,74.60%,13/201,0.1
P.Rivers,LAC,"1,321",3,"1,219",4,27.30%,3,24.40%,70.2,7,540,"4,104","4,561",32,0,1,12,68.30%,24-Feb,1.7
M.Ryan,ATL,"1,233",4,"1,355",3,18.20%,4,21.10%,68.2,9,649,"4,638","5,064",35,4,5,7,69.60%,9/203,0.7
B.Roethlisberger,PIT,"1,208",5,"1,075",7,14.60%,8,11.80%,71.8,4,696,"4,944","5,424",34,1,2,16,67.40%,9/152,1.4
J.Goff,LAR,"1,092",6,"1,086",6,16.40%,6,16.30%,66.4,11,594,"4,445","4,678",32,5,5,10,65.20%,7/142,-0.3
A.Luck,IND,"1,072",7,"1,156",5,13.40%,9,15.30%,71.7,5,656,"4,430","4,985",39,3,1,15,67.70%,10/169,0
T.Brady,NE,"1,034",8,"1,054",8,15.40%,7,15.90%,70.6,6,589,"4,197","4,546",29,2,2,11,66.10%,8/167,2.8
A.Rodgers,GB,821,9,699,10,8.20%,13,5.30%,60.6,18,644,"4,032","4,539",25,1,3,2,62.90%,9/151,4.4
D.Watson,HOU,742,10,725,9,9.60%,11,9.10%,63.8,14,562,"3,779","3,895",26,5,2,9,69.10%,6/149,-0.3
R.Wilson,SEA,679,11,640,11,11.60%,10,10.20%,65.6,12,471,"3,090","3,326",35,4,2,6,66.80%,10/205,2.8
B.Mayfield,CLE,630,12,613,12,8.10%,14,7.60%,53.9,25,509,"3,549","3,488",27,1,3,14,64.20%,4/100,1.7
K.Cousins,MIN,596,13,576,14,2.70%,19,2.20%,62,16,646,"3,988","4,283",30,2,6,10,70.50%,Jul-69,1
C.Wentz,PHI,549,14,576,13,8.20%,12,9.20%,64.2,13,430,"2,851","3,021",21,1,6,7,70.10%,5/106,0
R.Fitzpatrick,TB,473,15,461,17,16.80%,5,16.10%,63.7,15,260,"2,283","2,005",17,2,1,12,66.70%,Feb-34,1.9
J.Winston,TB,453,16,469,16,6.20%,15,6.80%,68.6,8,406,"2,821","2,704",19,1,3,13,64.70%,6/126,3.2
J.Flacco,BAL,432,17,332,21,5.50%,16,1.60%,57.4,20,392,"2,380","2,679",12,1,1,6,61.70%,8/159,1.7
M.Trubisky,CHI,418,18,510,15,2.50%,20,5.50%,72.8,3,458,"3,074","3,027",24,3,3,12,66.70%,10/197,2.5
A.Dalton,CIN,405,19,408,19,5.20%,17,5.30%,61.9,17,383,"2,405","2,544",21,1,0,10,62.40%,Jun-95,1.1
M.Stafford,DET,402,20,278,23,-0.60%,21,-3.90%,54,24,594,"3,521","3,628",21,2,3,11,66.20%,10/221,1.3
D.Carr,OAK,398,21,285,22,-0.90%,22,-3.80%,48.9,29,598,"3,734","3,647",19,5,7,10,69.80%,May-59,0.3
E.Manning,NYG,344,22,342,20,-2.30%,24,-2.40%,51.8,27,622,"3,946","3,615",21,2,4,11,66.10%,9/164,-0.5
C.Newton,CAR,322,23,410,18,-1.40%,23,1.20%,55.9,21,497,"3,159","3,097",24,3,0,13,68.70%,Jun-71,1.1
N.Mullens,SF,286,24,234,25,4.20%,18,1.40%,54.9,23,287,"2,151","1,893",13,1,0,10,65.20%,May-40,0.1
D.Prescott,DAL,112,25,256,24,-8.10%,26,-4.10%,57.8,19,582,"3,532","3,098",22,1,5,8,67.70%,Apr-54,-1
N.Foles,PHI,74,26,144,26,-5.40%,25,-0.10%,67.4,10,202,"1,370","1,155",7,0,2,4,73.10%,Mar-32,-0.4
M.Mariota,TEN,67,27,20,28,-8.40%,27,-10.30%,55.5,22,373,"2,289","2,038",11,4,1,8,68.90%,7/117,1.6
A.Smith,WAS,-52,28,97,27,-13.50%,29,-6.80%,49.3,28,350,"2,033","1,724",10,4,1,5,63.30%,Apr-77,0.3
C.Keenum,DEN,-60,29,-37,29,-12.70%,28,-12.10%,46.9,31,620,"3,634","3,131",18,6,2,14,62.60%,Jul-88,0
S.Darnold,NYJ,-109,30,-137,30,-15.10%,30,-16.10%,48.4,30,445,"2,653","2,063",17,2,1,15,57.90%,5-Jan,1.1
R.Tannehill,MIA,-185,31,-250,32,-20.70%,32,-24.10%,35,33,309,"1,694","1,303",17,1,4,9,64.50%,Mar-44,0.9
B.Bortles,JAX,-220,32,-175,31,-18.90%,31,-17.30%,45.7,32,435,"2,549","1,987",13,4,2,10,60.30%,0/0,0.2
J.Allen,BUF,-534,33,-475,33,-35.90%,33,-33.20%,52,26,350,"1,840","1,007",10,4,1,11,53.00%,6/150,3.6
J.Rosen,ARI,"-1,122",34,"-1,049",34,-53.00%,34,-50.20%,26.1,34,438,"1,949",633,11,4,5,14,55.50%,May-70,-0.8
