RK,TEAM,DEF_DVOA,LAST_YR,WEI_DEF,RK,PASS_DEF,RK,RUSH_DEF,RK,NON_ADJ_TOT,NON_ADJ_PASS,NON_ADJ_RUSH,VAR,RK,SCHED,RK
1,CHI,-26.00%,14,-26.90%,1,-25.20%,1,-27.30%,2,-25.80%,-22.50%,-31.10%,4.90%,10,-3.00%,23
2,BUF,-14.50%,15,-16.40%,2,-18.40%,2,-10.20%,14,-12.50%,-16.00%,-8.50%,8.40%,32,-1.70%,20
3,BAL,-13.10%,3,-14.20%,4,-10.70%,3,-16.90%,6,-10.20%,-6.90%,-15.20%,7.60%,28,4.50%,5
4,MIN,-10.30%,2,-14.40%,3,-9.70%,5,-11.00%,11,-10.80%,-10.50%,-11.00%,6.90%,27,-2.80%,22
5,DEN,-9.70%,10,-13.60%,5,-10.60%,4,-8.50%,16,-7.60%,-5.90%,-9.80%,5.00%,11,3.70%,7
6,JAX,-9.40%,1,-5.40%,9,-5.20%,6,-14.30%,7,-7.40%,-2.70%,-12.70%,5.30%,15,-1.20%,18
7,HOU,-7.10%,23,-5.20%,10,8.80%,19,-30.10%,1,-11.40%,2.80%,-31.80%,5.40%,16,-6.50%,31
8,LAC,-4.70%,12,-5.90%,7,1.20%,10,-12.00%,10,-5.10%,-2.10%,-8.90%,1.80%,1,0.70%,12
9,DAL,-3.50%,25,-3.90%,11,7.40%,16,-17.60%,5,-4.20%,7.00%,-18.70%,5.30%,13,-1.20%,17
10,IND,-3.40%,27,-5.70%,8,8.80%,20,-18.80%,4,-8.90%,1.10%,-21.40%,5.30%,14,-8.60%,32
11,NO,-2.90%,8,-9.80%,6,10.60%,22,-24.90%,3,-1.90%,11.70%,-23.90%,6.80%,24,3.10%,8
12,CLE,-2.50%,16,3.70%,20,-3.50%,7,-1.10%,25,-2.10%,-2.80%,-1.30%,6.80%,26,5.30%,3
13,PIT,-0.90%,9,-0.40%,12,7.50%,17,-13.10%,8,2.40%,11.30%,-10.60%,5.50%,17,4.40%,6
14,SEA,-0.10%,13,3.10%,19,5.10%,14,-7.60%,17,-1.80%,3.50%,-9.40%,4.70%,9,-0.90%,16
15,PHI,0.00%,5,2.90%,18,6.70%,15,-12.30%,9,1.70%,6.70%,-7.60%,8.30%,30,-0.80%,15
16,NE,0.40%,31,-0.10%,13,5.00%,13,-7.00%,19,-2.40%,0.50%,-6.90%,6.80%,25,-5.30%,28
17,ARI,0.50%,4,4.00%,21,-0.90%,8,1.80%,29,3.10%,3.30%,2.90%,3.90%,4,4.70%,4
18,LAR,0.50%,6,0.30%,14,-0.10%,9,1.10%,27,-3.10%,-3.10%,-3.20%,4.50%,7,-1.90%,21
19,TEN,0.60%,21,0.40%,15,9.40%,21,-9.40%,15,-1.60%,5.60%,-9.80%,5.50%,18,-5.00%,27
20,WAS,1.70%,11,1.10%,16,2.10%,11,1.30%,28,0.70%,0.40%,1.00%,6.00%,20,-1.70%,19
21,NYJ,3.30%,18,9.90%,28,8.80%,18,-3.90%,21,2.50%,7.60%,-4.20%,6.40%,22,-4.10%,26
22,CAR,5.40%,7,5.40%,24,14.80%,24,-7.00%,18,6.40%,16.60%,-7.10%,4.60%,8,3.10%,9
23,SF,5.70%,26,7.00%,25,19.60%,27,-11.00%,12,9.40%,23.70%,-7.70%,3.70%,3,2.60%,10
24,NYG,5.80%,24,4.20%,22,16.00%,26,-5.90%,20,3.90%,13.30%,-7.00%,4.50%,6,-3.60%,25
25,MIA,6.50%,28,13.40%,32,14.40%,23,-1.60%,24,4.90%,13.10%,-3.40%,6.80%,23,-6.10%,30
26,KC,6.90%,30,2.50%,17,4.70%,12,9.80%,32,6.10%,5.50%,6.90%,3.60%,2,0.60%,14
27,DET,9.00%,19,5.10%,23,24.70%,31,-10.60%,13,7.20%,19.00%,-7.40%,8.00%,29,-3.30%,24
28,CIN,9.00%,17,13.10%,30,15.70%,25,1.00%,26,12.20%,20.60%,2.10%,6.10%,21,7.00%,1
29,GB,10.10%,20,13.10%,30,20.10%,28,-2.00%,23,10.10%,21.50%,-3.70%,8.30%,31,-5.90%,29
30,OAK,12.30%,29,9.60%,27,28.30%,32,-3.30%,22,16.20%,32.10%,0.70%,4.40%,5,6.20%,2
31,ATL,13.30%,22,9.50%,26,21.70%,29,2.40%,30,13.70%,17.60%,8.60%,5.90%,19,0.70%,13
32,TB,14.80%,32,10.90%,29,24.30%,30,3.00%,31,17.70%,27.70%,5.20%,5.20%,12,1.70%,11
